Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
775,Ingersoll Rand,4, Public ,Industrial Machinery , 51 years old , Dublin +22 more, 501-1k Employees ,270 Reviews
776,Tribhovandas Bhimji Zaveri,4.2, Public ,Metals & Mining , 159 years old , Mumbai +34 more, 1k-5k Employees ,269 Reviews
777,Katerra,3.4, Startup ,Engineering & Construction , 8 years old , Menlo Park +14 more, 501-1k Employees ,269 Reviews
778,Essar Projects India,4, Public ,Engineering & Construction , 54 years old , Mumbai +36 more, 5k-10k Employees ,269 Reviews
779,Exicom,4, Public ,Semiconductors , 29 years old , Gurgaon +16 more, 501-1k Employees ,268 Reviews
780,Chambal Fertilisers And Chemicals,4, Public ,Agro Chemicals , 38 years old , Kota +42 more, 1k-5k Employees ,268 Reviews
781,Aurionpro Solutions,3.9, Public ,Software Product , 26 years old , Mumbai +30 more, 1k-5k Employees ,268 Reviews
782,Cosmo Films,3.9, Public ,Packaging , 42 years old , Delhi/NCR +8 more, 1k-5k Employees ,267 Reviews
783,Sakthi Auto Components,3.2, Public ,Auto Components , 40 years old , Coimbatore +10 more, 501-1k Employees ,267 Reviews
784,Netmeds.com,3.8, Startup ,Internet , 8 years old , Chennai +57 more, 501-1k Employees ,267 Reviews
785,Ranbaxy,4.4, Public ,Pharma , 62 years old , GURGAON +49 more, 10k-50k Employees ,266 Reviews
786,Siti Networks,4, Public ,Media & Entertainment , 29 years old , Noida +47 more, 201-500 Employees ,266 Reviews
787,Indian Space Research Organisation,4.3, Public ,Defence & Aerospace , 54 years old , Bangalore/Bengaluru +19 more, 10k-50k Employees ,266 Reviews
788,Ranbaxy,4.4, Public ,Pharma , 62 years old , GURGAON +49 more, 10k-50k Employees ,266 Reviews
789,Ashapura Group Of Industries,4, Public ,Metals & Mining , 63 years old , Mumbai +26 more, 201-500 Employees ,266 Reviews
790,SOLAR INDUSTRIES INDIA,3.8, Public ,Chemicals / Agri Inputs , 28 years old , Nagpur +26 more, 5k-10k Employees ,265 Reviews
791,Tata Power Solar,4.2, Public ,Power , 34 years old , Mumbai +41 more, 1k-5k Employees ,265 Reviews
792,Meghmani Organics,3.9, Public ,Chemicals , 37 years old , Ahmedabad +13 more, 501-1k Employees ,264 Reviews
793,Groupm Media,3.9, Public ,Marketing & Advertising , 20 years old , New York +15 more, 1k-5k Employees ,264 Reviews
794,Laxmi Organic Industries,3.9, Public ,Chemicals , 31 years old , Mumbai +11 more, 201-500 Employees ,263 Reviews
795,Indian Immunologicals,4.1, Public ,Biotechnology , 41 years old , Hyderabad/Secunderabad +21 more, 1k-5k Employees ,263 Reviews
796,Kerala State Electricity Board,4.3, State ,Power , 66 years old , Trivandrum/Thiruvananthapuram +23 more, 10k-50k Employees ,262 Reviews
797,S2 Infotech,3.2, Public ,Recruitment , 18 years old , Mumbai +46 more, 201-500 Employees ,261 Reviews
798,Capital Trust,3.7, Public ,NBFC , 37 years old , Delhi/NCR +71 more, 201-500 Employees ,261 Reviews
799,Stryker,4.2, Public ,Medical Equipment , 82 years old , Kalamazoo +14 more, 1k-5k Employees ,261 Reviews
800,Aster Dm Healthcare,3.8, Public ,Healthcare , 36 years old , Dubai +25 more, 501-1k Employees ,261 Reviews
801,National Fertilizers,4.2, Public ,Agro Chemicals , 49 years old , Noida +22 more, 1k-5k Employees ,260 Reviews
802,myGate,3.3, Startup ,Law Enforcement & Security , 7 years old , Bangalore +17 more, 1k-5k Employees ,260 Reviews
803,Great Learning,3.7, Startup ,EdTech , 10 years old , Gurgaon +8 more, 501-1k Employees ,260 Reviews
804,SPML Infra,3.6, Public ,Engineering & Construction , 42 years old , Delhi/NCR +44 more, 201-500 Employees ,259 Reviews
805,Epiroc,4, Public ,Industrial Machinery , 150 years old , Stockholm +20 more, 1k-5k Employees ,259 Reviews
806,Kogta Financial,4.3, Public ,NBFC , 27 years old , Jaipur +82 more, 1k-5k Employees ,259 Reviews
807,Gujarat Ambuja Exports,3.7, Public ,Agro Chemicals , 32 years old , Ahmedabad +25 more, 1k-5k Employees ,259 Reviews
808,TCG Lifesciences,4, Public ,Pharma , 22 years old , Kolkata +6 more, 1k-5k Employees ,258 Reviews
809,WAKEFIT INNOVATIONS,3.9, Startup ,Furniture & Furnishing , 9 years old , Bangalore +26 more, 1k-5k Employees ,258 Reviews
810,Scaler Academy,4, Startup ,EdTech , 4 years old , Bangalore +3 more, 1k-5k Employees ,258 Reviews
811,Bharat Bijlee,4.1, Public ,Electrical Equipment , 77 years old , Mumbai +16 more, 501-1k Employees ,257 Reviews
812,CMR Green Technologies,4, Public ,Metals & Mining , 17 years old , Faridabad +19 more, 1k-5k Employees ,256 Reviews
813,Healthians,3.1, Startup ,Healthcare , 10 years old , Gurgaon +29 more, 501-1k Employees ,256 Reviews
